"sampleID" "gene_id" "experiment" "counts" "exLength" "type" "rnaType" "sumCountsGenomic" "fpkm" "fpkmRatio" "gapdhEquiv" "volume" "actualCount"
"91" "Live-PL2-A01" "GAPDH" "CRL2097_Run140613" 8892 1883 "Live" "Genomic" 1432783 3295.85968424332 50.2758842516028 2425.95012752716 2070.12085161747 1978.68458788762
"92" "Live-PL2-A01" "GAA" "CRL2097_Run140613" 0 3834 "Live" "Genomic" 1432783 0 50.2758842516028 2425.95012752716 2070.12085161747 0
"93" "Live-PL2-A01" "TBCB" "CRL2097_Run140613" 53 1469 "Live" "Genomic" 1432783 25.1810394752765 50.2758842516028 2425.95012752716 2070.12085161747 129.160568643473
"94" "Live-PL2-A01" "ACTA2" "CRL2097_Run140613" 59 1841 "Live" "Genomic" 1432783 22.3675183950651 50.2758842516028 2425.95012752716 2070.12085161747 120.87038031409
"95" "Live-PL2-A01" "ACTN4" "CRL2097_Run140613" 86 3933 "Live" "Genomic" 1432783 15.2613897935206 50.2758842516028 2425.95012752716 2070.12085161747 97.5805895959586
"96" "Live-PL2-A01" "MYC" "CRL2097_Run140613" 180 2363 "Live" "Genomic" 1432783 53.1653115886634 50.2758842516028 2425.95012752716 2070.12085161747 196.267179952437
"97" "Live-PL2-A01" "EEF2" "CRL2097_Run140613" 117 3143 "Live" "Genomic" 1432783 25.981310955968 50.2758842516028 2425.95012752716 2070.12085161747 131.443016968209
"98" "Live-PL2-A01" "SLC1A5" "CRL2097_Run140613" 29 3196 "Live" "Genomic" 1432783 6.33301923799947 50.2758842516028 2425.95012752716 2070.12085161747 59.6336686569379
"99" "Live-PL2-A01" "GAS6" "CRL2097_Run140613" 106 3888 "Live" "Genomic" 1432783 19.0282649121302 50.2758842516028 2425.95012752716 2070.12085161747 110.40902721979
"100" "Live-PL2-A01" "KDM5A" "CRL2097_Run140613" 158 10808 "Live" "Genomic" 1432783 10.2030809189046 50.2758842516028 2425.95012752716 2070.12085161747 77.8857530462537
"101" "Live-PL2-A01" "KDM5B" "CRL2097_Run140613" 152 6356 "Live" "Genomic" 1432783 16.690881717336 50.2758842516028 2425.95012752716 2070.12085161747 102.597128208942
"102" "Live-PL2-A01" "LMNA" "CRL2097_Run140613" 265 4406 "Live" "Genomic" 1432783 41.9779244089664 50.2758842516028 2425.95012752716 2070.12085161747 171.948320978831
"103" "Live-PL2-A01" "USF2" "CRL2097_Run140613" 0 1699 "Live" "Genomic" 1432783 0 50.2758842516028 2425.95012752716 2070.12085161747 0
"104" "Live-PL2-A01" "IER2" "CRL2097_Run140613" 19 2044 "Live" "Genomic" 1432783 6.48772285930697 50.2758842516028 2425.95012752716 2070.12085161747 60.4449601162219
"105" "Live-PL2-A02" "EEF2" "CRL2097_Run140613" 654 3143 "Live" "Genomic" 2279049 91.3018767227662 42.3540822863355 2043.70132625874 1660.11234946741 241.350435069859
"106" "Live-PL2-A02" "FTL" "CRL2097_Run140613" 6016 867 "Live" "Genomic" 2279049 3044.63382117421 42.3540822863355 2043.70132625874 1660.11234946741 1719.50990430256
"107" "Live-PL2-A02" "MYC" "CRL2097_Run140613" 7 2363 "Live" "Genomic" 2279049 1.29981233994623 42.3540822863355 2043.70132625874 1660.11234946741 22.322345566592
"108" "Live-PL2-A02" "USF2" "CRL2097_Run140613" 1 1699 "Live" "Genomic" 2279049 0.258257509399893 42.3540822863355 2043.70132625874 1660.11234946741 9.03207360165014
"109" "Live-PL2-A02" "KDM5B" "CRL2097_Run140613" 968 6356 "Live" "Genomic" 2279049 66.8248213026063 42.3540822863355 2043.70132625874 1660.11234946741 202.655485660408
"110" "Live-PL2-A02" "LUM" "CRL2097_Run140613" 595 2113 "Live" "Genomic" 2279049 123.555990317037 42.3540822863355 2043.70132625874 1660.11234946741 285.897174360282
"111" "Live-PL2-A02" "FUCA1" "CRL2097_Run140613" 14 2109 "Live" "Genomic" 2279049 2.91271366457367 42.3540822863355 2043.70132625874 1660.11234946741 35.0701722336697
"112" "Live-PL2-A02" "RND3" "CRL2097_Run140613" 3542 2948 "Live" "Genomic" 2279049 527.190304953265 42.3540822863355 2043.70132625874 1660.11234946741 644.175204684993
"113" "Live-PL2-A02" "RBM3" "CRL2097_Run140613" 707 4425 "Live" "Genomic" 2279049 70.1055621443133 42.3540822863355 2043.70132625874 1660.11234946741 208.167280735722
"114" "Live-PL2-A02" "ACTA2" "CRL2097_Run140613" 37 1841 "Live" "Genomic" 2279049 8.81849093612466 42.3540822863355 2043.70132625874 1660.11234946741 65.2083413754734
"115" "Live-PL2-A02" "ACTN4" "CRL2097_Run140613" 353 3933 "Live" "Genomic" 2279049 39.381939102481 42.3540822863355 2043.70132625874 1660.11234946741 150.724151477979
"116" "Live-PL2-A02" "LMNA" "CRL2097_Run140613" 911 4406 "Live" "Genomic" 2279049 90.723588791773 42.3540822863355 2043.70132625874 1660.11234946741 240.493340721067
"117" "Live-PL2-A02" "UBC" "CRL2097_Run140613" 843 2583 "Live" "Genomic" 2279049 143.202139233668 42.3540822863355 2043.70132625874 1660.11234946741 310.521273011408
"118" "Live-PL2-A02" "GAS6" "CRL2097_Run140613" 83 3888 "Live" "Genomic" 2279049 9.36694938349917 42.3540822863355 2043.70132625874 1660.11234946741 67.4488705194741
"119" "Live-PL2-A02" "GAA" "CRL2097_Run140613" 0 3834 "Live" "Genomic" 2279049 0 42.3540822863355 2043.70132625874 1660.11234946741 0
"120" "Live-PL2-A02" "SUPT5H" "CRL2097_Run140613" 225 3838 "Live" "Genomic" 2279049 25.7231342902148 42.3540822863355 2043.70132625874 1660.11234946741 118.745347269594
"121" "Live-PL2-A02" "DNMT1" "CRL2097_Run140613" 785 5359 "Live" "Genomic" 2279049 64.2735424798057 42.3540822863355 2043.70132625874 1660.11234946741 198.286414305681
"122" "Live-PL2-A02" "SLC1A5" "CRL2097_Run140613" 59 3196 "Live" "Genomic" 2279049 8.10012234034879 42.3540822863355 2043.70132625874 1660.11234946741 62.1786639462264
"123" "Live-PL2-A02" "KDM5A" "CRL2097_Run140613" 239 10808 "Live" "Genomic" 2279049 9.70284072209753 42.3540822863355 2043.70132625874 1660.11234946741 68.7925706355984
"124" "Live-PL2-A02" "GAPDH" "CRL2097_Run140613" 14160 1883 "Live" "Genomic" 2279049 3299.58462025551 42.3540822863355 2043.70132625874 1660.11234946741 1798.69983521926
"125" "Live-PL2-A02" "TBCB" "CRL2097_Run140613" 286 1469 "Live" "Genomic" 2279049 85.4260989942409 42.3540822863355 2043.70132625874 1660.11234946741 232.526846626102
"126" "Live-PL2-A02" "PABPC1" "CRL2097_Run140613" 1267 2845 "Live" "Genomic" 2279049 195.407253860113 42.3540822863355 2043.70132625874 1660.11234946741 369.549595203876
"127" "Live-PL2-A02" "IER2" "CRL2097_Run140613" 0 2044 "Live" "Genomic" 2279049 0 42.3540822863355 2043.70132625874 1660.11234946741 0
"128" "Live-PL2-A02" "ICAM1" "CRL2097_Run140613" 0 3239 "Live" "Genomic" 2279049 0 42.3540822863355 2043.70132625874 1660.11234946741 0
"129" "Live-PL2-A02" "BABAM1" "CRL2097_Run140613" 63 1489 "Live" "Genomic" 2279049 18.5648818224556 42.3540822863355 2043.70132625874 1660.11234946741 98.927540237786
"130" "Live-PL2-A02" "ZNF444" "CRL2097_Run140613" 1 2059 "Live" "Genomic" 2279049 0.213103209553385 42.3540822863355 2043.70132625874 1660.11234946741 8.11066880383158
"131" "Live-PL2-A03" "SLC1A5" "CRL2097_Run140613" 605 3196 "Live" "Genomic" 2321733 81.5335458060342 52.711874664272 2543.49338589524 2196.20034523893 256.05338993049
"132" "Live-PL2-A03" "RBM3" "CRL2097_Run140613" 536 4425 "Live" "Genomic" 2321733 52.1722108023726 52.711874664272 2543.49338589524 2196.20034523893 199.419589148712
"133" "Live-PL2-A03" "PABPC1" "CRL2097_Run140613" 1725 2845 "Live" "Genomic" 2321733 261.152720523608 52.711874664272 2543.49338589524 2196.20034523893 491.351042877293
"134" "Live-PL2-A03" "ICAM1" "CRL2097_Run140613" 0 3239 "Live" "Genomic" 2321733 0 52.711874664272 2543.49338589524 2196.20034523893 0
"135" "Live-PL2-A03" "FTL" "CRL2097_Run140613" 31558 867 "Live" "Genomic" 2321733 15677.5465904004 52.711874664272 2543.49338589524 2196.20034523893 4865.26359672393
"136" "Live-PL2-A03" "LMNA" "CRL2097_Run140613" 592 4406 "Live" "Genomic" 2321733 57.8715267079386 52.711874664272 2543.49338589524 2196.20034523893 211.338024762299
"137" "Live-PL2-A03" "LUM" "CRL2097_Run140613" 423 2113 "Live" "Genomic" 2321733 86.2240853305152 52.711874664272 2543.49338589524 2196.20034523893 264.199344817901
"138" "Live-PL2-A03" "ZNF444" "CRL2097_Run140613" 0 2059 "Live" "Genomic" 2321733 0 52.711874664272 2543.49338589524 2196.20034523893 0
"139" "Live-PL2-A03" "GAA" "CRL2097_Run140613" 0 3834 "Live" "Genomic" 2321733 0 52.711874664272 2543.49338589524 2196.20034523893 0
"140" "Live-PL2-A03" "KDM5A" "CRL2097_Run140613" 47 10808 "Live" "Genomic" 2321733 1.87301065366579 52.711874664272 2543.49338589524 2196.20034523893 30.9578552488752
"141" "Live-PL2-A03" "KDM5B" "CRL2097_Run140613" 25 6356 "Live" "Genomic" 2321733 1.69411873726449 52.711874664272 2543.49338589524 2196.20034523893 29.2658606300185
"142" "Live-PL2-A03" "TBCB" "CRL2097_Run140613" 384 1469 "Live" "Genomic" 2321733 112.589309149527 52.711874664272 2543.49338589524 2196.20034523893 306.765405703775
"143" "Live-PL2-A03" "USF2" "CRL2097_Run140613" 0 1699 "Live" "Genomic" 2321733 0 52.711874664272 2543.49338589524 2196.20034523893 0
"144" "Live-PL2-A03" "ACTA2" "CRL2097_Run140613" 3760 1841 "Live" "Genomic" 2321733 879.674053006837 52.711874664272 2543.49338589524 2196.20034523893 969.834566604664
"145" "Live-PL2-A03" "UBC" "CRL2097_Run140613" 1216 2583 "Live" "Genomic" 2321733 202.766822020419 52.711874664272 2543.49338589524 2196.20034523893 426.442355984305
"146" "Live-PL2-A03" "SUPT5H" "CRL2097_Run140613" 19 3838 "Live" "Genomic" 2321733 2.13224132555507 52.711874664272 2543.49338589524 2196.20034523893 33.2882511014244
"147" "Live-PL2-A03" "ACTN4" "CRL2097_Run140613" 227 3933 "Live" "Genomic" 2321733 24.8593424210532 52.711874664272 2543.49338589524 2196.20034523893 131.67662247354
"148" "Live-PL2-A03" "EEF2" "CRL2097_Run140613" 289 3143 "Live" "Genomic" 2321733 39.6041947512739 52.711874664272 2543.49338589524 2196.20034523893 170.902746662689
"149" "Live-PL2-A03" "DNMT1" "CRL2097_Run140613" 361 5359 "Live" "Genomic" 2321733 29.0142380933247 52.711874664272 2543.49338589524 2196.20034523893 143.578672159066
"150" "Live-PL2-A03" "GAPDH" "CRL2097_Run140613" 16353 1883 "Live" "Genomic" 2321733 3740.54464373554 52.711874664272 2543.49338589524 2196.20034523893 2181.00792666115
"151" "Live-PL2-A03" "IER2" "CRL2097_Run140613" 41 2044 "Live" "Genomic" 2321733 8.63954141792911 52.711874664272 2543.49338589524 2196.20034523893 72.8644686359147
"152" "Live-PL2-A03" "FUCA1" "CRL2097_Run140613" 0 2109 "Live" "Genomic" 2321733 0 52.711874664272 2543.49338589524 2196.20034523893 0
"153" "Live-PL2-A03" "BABAM1" "CRL2097_Run140613" 0 1489 "Live" "Genomic" 2321733 0 52.711874664272 2543.49338589524 2196.20034523893 0
"154" "Live-PL2-A03" "MYC" "CRL2097_Run140613" 21 2363 "Live" "Genomic" 2321733 3.82774765256225 52.711874664272 2543.49338589524 2196.20034523893 46.1918233014279
"155" "Live-PL2-A03" "RND3" "CRL2097_Run140613" 5833 2948 "Live" "Genomic" 2321733 852.220982936388 52.711874664272 2543.49338589524 2196.20034523893 952.770061187382
"156" "Live-PL2-A03" "GAS6" "CRL2097_Run140613" 39 3888 "Live" "Genomic" 2321733 4.32042108094723 52.711874664272 2543.49338589524 2196.20034523893 49.4317664009471
"157" "Live-PL2-A04" "ZNF444" "CRL2097_Run140613" 0 2059 "Live" "Genomic" 1077771 0 60.6793697356029 2927.94700559962 2608.57378431341 0
"158" "Live-PL2-A04" "ICAM1" "CRL2097_Run140613" 0 3239 "Live" "Genomic" 1077771 0 60.6793697356029 2927.94700559962 2608.57378431341 0
"159" "Live-PL2-A04" "TBCB" "CRL2097_Run140613" 179 1469 "Live" "Genomic" 1077771 113.058896303302 60.6793697356029 2927.94700559962 2608.57378431341 332.695177496371
"160" "Live-PL2-A04" "GAA" "CRL2097_Run140613" 1 3834 "Live" "Genomic" 1077771 0.242003361090785 60.6793697356029 2927.94700559962 2608.57378431341 10.6513943922428
"161" "Live-PL2-A04" "LMNA" "CRL2097_Run140613" 197 4406 "Live" "Genomic" 1077771 41.4853959657621 60.6793697356029 2927.94700559962 2608.57378431341 189.784756302434
"162" "Live-PL2-A04" "DNMT1" "CRL2097_Run140613" 609 5359 "Live" "Genomic" 1077771 105.440399296705 60.6793697356029 2927.94700559962 2608.57378431341 319.950553275054
"163" "Live-PL2-A04" "ACTN4" "CRL2097_Run140613" 123 3933 "Live" "Genomic" 1077771 29.0171444266246 60.6793697356029 2927.94700559962 2608.57378431341 155.36112113521
"164" "Live-PL2-A04" "SUPT5H" "CRL2097_Run140613" 47 3838 "Live" "Genomic" 1077771 11.3623037159555 60.6793697356029 2927.94700559962 2608.57378431341 91.9090319802545
"165" "Live-PL2-A04" "GAPDH" "CRL2097_Run140613" 4251 1883 "Live" "Genomic" 1077771 2094.66362622423 60.6793697356029 2927.94700559962 2608.57378431341 1705.65551529329
"166" "Live-PL2-A04" "EEF2" "CRL2097_Run140613" 147 3143 "Live" "Genomic" 1077771 43.3956762023685 60.6793697356029 2927.94700559962 2608.57378431341 194.62921358371
"167" "Live-PL2-A04" "ACTA2" "CRL2097_Run140613" 61 1841 "Live" "Genomic" 1077771 30.743234150867 60.6793697356029 2927.94700559962 2608.57378431341 160.469661347392
"168" "Live-PL2-A04" "UBC" "CRL2097_Run140613" 182 2583 "Live" "Genomic" 1077771 65.3763226205252 60.6793697356029 2927.94700559962 2608.57378431341 244.824818120639
"169" "Live-PL2-A04" "FUCA1" "CRL2097_Run140613" 0 2109 "Live" "Genomic" 1077771 0 60.6793697356029 2927.94700559962 2608.57378431341 0
"170" "Live-PL2-A04" "MYC" "CRL2097_Run140613" 0 2363 "Live" "Genomic" 1077771 0 60.6793697356029 2927.94700559962 2608.57378431341 0
"171" "Live-PL2-A04" "LUM" "CRL2097_Run140613" 383 2113 "Live" "Genomic" 1077771 168.179393989424 60.6793697356029 2927.94700559962 2608.57378431341 415.538362695429
"172" "Live-PL2-A04" "BABAM1" "CRL2097_Run140613" 40 1489 "Live" "Genomic" 1077771 24.9252085002571 60.6793697356029 2927.94700559962 2608.57378431341 142.68560179139
"173" "Live-PL2-A04" "KDM5A" "CRL2097_Run140613" 135 10808 "Live" "Genomic" 1077771 11.5894263200388 60.6793697356029 2927.94700559962 2608.57378431341 92.9331859016047
"174" "Live-PL2-A04" "SLC1A5" "CRL2097_Run140613" 192 3196 "Live" "Genomic" 1077771 55.7401283457563 60.6793697356029 2927.94700559962 2608.57378431341 223.913896787335
"175" "Live-PL2-A04" "RND3" "CRL2097_Run140613" 483 2948 "Live" "Genomic" 1077771 152.017350115963 60.6793697356029 2927.94700559962 2608.57378431341 392.683797789292
"176" "Live-PL2-A04" "RBM3" "CRL2097_Run140613" 445 4425 "Live" "Genomic" 1077771 93.3082925328409 60.6793697356029 2927.94700559962 2608.57378431341 298.785584088273
"177" "Live-PL2-A04" "USF2" "CRL2097_Run140613" 12 1699 "Live" "Genomic" 1077771 6.55331997472915 60.6793697356029 2927.94700559962 2608.57378431341 67.5366649720343
"178" "Live-PL2-A04" "PABPC1" "CRL2097_Run140613" 747 2845 "Live" "Genomic" 1077771 243.619382129099 60.6793697356029 2927.94700559962 2608.57378431341 511.352847344628
"179" "Live-PL2-A04" "IER2" "CRL2097_Run140613" 0 2044 "Live" "Genomic" 1077771 0 60.6793697356029 2927.94700559962 2608.57378431341 0
"180" "Live-PL2-A04" "GAS6" "CRL2097_Run140613" 73 3888 "Live" "Genomic" 1077771 17.4208808407436 60.6793697356029 2927.94700559962 2608.57378431341 116.755529188657
"181" "Live-PL2-A04" "KDM5B" "CRL2097_Run140613" 4 6356 "Live" "Genomic" 1077771 0.583914969428615 60.6793697356029 2927.94700559962 2608.57378431341 17.4414859849535
"182" "Live-PL2-A04" "FTL" "CRL2097_Run140613" 3148 867 "Live" "Genomic" 1077771 3368.90785519801 60.6793697356029 2927.94700559962 2608.57378431341 2225.56514789509
"183" "Live-PL2-A05" "GAPDH" "CRL2097_Run140613" 10696 1883 "Live" "Genomic" 2371182 2395.55521160734 48.8658698026793 2357.91304010245 1997.14276976844 1628.84053071998
"184" "Live-PL2-A05" "LMNA" "CRL2097_Run140613" 522 4406 "Live" "Genomic" 2371182 49.9644510970701 48.8658698026793 2357.91304010245 1997.14276976844 186.565667230348
"185" "Live-PL2-A05" "GAS6" "CRL2097_Run140613" 223 3888 "Live" "Genomic" 2371182 24.1887662263754 48.8658698026793 2357.91304010245 1997.14276976844 124.290266524762
"186" "Live-PL2-A05" "ACTN4" "CRL2097_Run140613" 384 3933 "Live" "Genomic" 2371182 41.1758324877217 48.8658698026793 2357.91304010245 1997.14276976844 167.413221470613
"187" "Live-PL2-A05" "KDM5B" "CRL2097_Run140613" 3 6356 "Live" "Genomic" 2371182 0.199054718442969 48.8658698026793 2357.91304010245 1997.14276976844 8.45764331641071
"188" "Live-PL2-A05" "ACTA2" "CRL2097_Run140613" 101 1841 "Live" "Genomic" 2371182 23.1367682116195 48.8658698026793 2357.91304010245 1997.14276976844 121.234131336236
"189" "Live-PL2-A05" "KDM5A" "CRL2097_Run140613" 319 10808 "Live" "Genomic" 2371182 12.4474519228072 48.8658698026793 2357.91304010245 1997.14276976844 85.6816350305795
"190" "Live-PL2-A05" "SLC1A5" "CRL2097_Run140613" 155 3196 "Live" "Genomic" 2371182 20.4531422106429 48.8658698026793 2357.91304010245 1997.14276976844 113.147886159955
"191" "Live-PL2-A05" "BABAM1" "CRL2097_Run140613" 263 1489 "Live" "Genomic" 2371182 74.4896890265017 48.8658698026793 2357.91304010245 1997.14276976844 233.31237012257
"192" "Live-PL2-A05" "DNMT1" "CRL2097_Run140613" 274 5359 "Live" "Genomic" 2371182 21.5626392098054 48.8658698026793 2357.91304010245 1997.14276976844 116.544443057239
"193" "Live-PL2-A05" "FTL" "CRL2097_Run140613" 10573 867 "Live" "Genomic" 2371182 5142.97301043744 48.8658698026793 2357.91304010245 1997.14276976844 2498.37394771104
"194" "Live-PL2-A05" "PABPC1" "CRL2097_Run140613" 1516 2845 "Live" "Genomic" 2371182 224.725337349976 48.8658698026793 2357.91304010245 1997.14276976844 432.952688468171
"195" "Live-PL2-A05" "ZNF444" "CRL2097_Run140613" 0 2059 "Live" "Genomic" 2371182 0 48.8658698026793 2357.91304010245 1997.14276976844 0
"196" "Live-PL2-A05" "USF2" "CRL2097_Run140613" 0 1699 "Live" "Genomic" 2371182 0 48.8658698026793 2357.91304010245 1997.14276976844 0
"197" "Live-PL2-A05" "SUPT5H" "CRL2097_Run140613" 80 3838 "Live" "Genomic" 2371182 8.7906325546188 48.8658698026793 2357.91304010245 1997.14276976844 70.5195081928004
"198" "Live-PL2-A05" "LUM" "CRL2097_Run140613" 1839 2113 "Live" "Genomic" 2371182 367.043335319267 48.8658698026793 2357.91304010245 1997.14276976844 569.817009463522
"199" "Live-PL2-A05" "RND3" "CRL2097_Run140613" 636 2948 "Live" "Genomic" 2371182 90.9839415094248 48.8658698026793 2357.91304010245 1997.14276976844 260.960855102474
"200" "Live-PL2-A05" "ICAM1" "CRL2097_Run140613" 0 3239 "Live" "Genomic" 2371182 0 48.8658698026793 2357.91304010245 1997.14276976844 0
"201" "Live-PL2-A05" "EEF2" "CRL2097_Run140613" 424 3143 "Live" "Genomic" 2371182 56.8927053918304 48.8658698026793 2357.91304010245 1997.14276976844 200.635356934868
"202" "Live-PL2-A05" "FUCA1" "CRL2097_Run140613" 0 2109 "Live" "Genomic" 2371182 0 48.8658698026793 2357.91304010245 1997.14276976844 0
"203" "Live-PL2-A05" "UBC" "CRL2097_Run140613" 1252 2583 "Live" "Genomic" 2371182 204.416069378015 48.8658698026793 2357.91304010245 1997.14276976844 410.589545275304
"204" "Live-PL2-A05" "GAA" "CRL2097_Run140613" 0 3834 "Live" "Genomic" 2371182 0 48.8658698026793 2357.91304010245 1997.14276976844 0
"205" "Live-PL2-A05" "MYC" "CRL2097_Run140613" 163 2363 "Live" "Genomic" 2371182 29.0910229706633 48.8658698026793 2357.91304010245 1997.14276976844 137.819398047581
"206" "Live-PL2-A05" "TBCB" "CRL2097_Run140613" 317 1469 "Live" "Genomic" 2371182 91.0065345051629 48.8658698026793 2357.91304010245 1997.14276976844 260.997135338887
"207" "Live-PL2-A05" "IER2" "CRL2097_Run140613" 49 2044 "Live" "Genomic" 2371182 10.1099800604618 48.8658698026793 2357.91304010245 1997.14276976844 76.2626714420953
"208" "Live-PL2-A05" "RBM3" "CRL2097_Run140613" 1041 4425 "Live" "Genomic" 2371182 99.2139098930979 48.8658698026793 2357.91304010245 1997.14276976844 273.925165160725
"209" "Live-PL2-A06" "LUM" "CRL2097_Run140613" 5483 2113 "Live" "Genomic" 1834471 1414.51611048625 50.7980464913581 2451.14589625367 2097.14638933478 1239.37915257471
"210" "Live-PL2-A06" "TBCB" "CRL2097_Run140613" 36 1469 "Live" "Genomic" 1834471 13.3588740210901 50.7980464913581 2451.14589625367 2097.14638933478 91.0961788745624
"211" "Live-PL2-A06" "BABAM1" "CRL2097_Run140613" 15 1489 "Live" "Genomic" 1834471 5.49143327092604 50.7980464913581 2451.14589625367 2097.14638933478 55.3773515064657
"212" "Live-PL2-A06" "RBM3" "CRL2097_Run140613" 959 4425 "Live" "Genomic" 1834471 118.139324002292 50.7980464913581 2451.14589625367 2097.14638933478 308.683902915603
"213" "Live-PL2-A06" "ACTN4" "CRL2097_Run140613" 137 3933 "Live" "Genomic" 1834471 18.9882862485976 50.7980464913581 2451.14589625367 2097.14638933478 110.918909431337
"214" "Live-PL2-A06" "FUCA1" "CRL2097_Run140613" 0 2109 "Live" "Genomic" 1834471 0 50.7980464913581 2451.14589625367 2097.14638933478 0
"215" "Live-PL2-A06" "SUPT5H" "CRL2097_Run140613" 11 3838 "Live" "Genomic" 1834471 1.56234472024488 50.7980464913581 2451.14589625367 2097.14638933478 27.3954583806688
"216" "Live-PL2-A06" "SLC1A5" "CRL2097_Run140613" 142 3196 "Live" "Genomic" 1834471 24.2198095105978 50.7980464913581 2451.14589625367 2097.14638933478 127.109628731858
"217" "Live-PL2-A06" "GAS6" "CRL2097_Run140613" 52 3888 "Live" "Genomic" 1834471 7.29064978225757 50.7980464913581 2451.14589625367 2097.14638933478 64.9000151075289
"218" "Live-PL2-A06" "USF2" "CRL2097_Run140613" 3 1699 "Live" "Genomic" 1834471 0.9625360965755 50.7980464913581 2451.14589625367 2097.14638933478 20.8880735464879
"219" "Live-PL2-A06" "PABPC1" "CRL2097_Run140613" 1434 2845 "Live" "Genomic" 1834471 274.76159571989 50.7980464913581 2451.14589625367 2097.14638933478 495.166537125598
"220" "Live-PL2-A06" "RND3" "CRL2097_Run140613" 1888 2948 "Live" "Genomic" 1834471 349.111102150428 50.7980464913581 2451.14589625367 2097.14638933478 566.219753540856
"221" "Live-PL2-A06" "DNMT1" "CRL2097_Run140613" 242 5359 "Live" "Genomic" 1834471 24.6161856313858 50.7980464913581 2451.14589625367 2097.14638933478 128.270195066114
"222" "Live-PL2-A06" "EEF2" "CRL2097_Run140613" 325 3143 "Live" "Genomic" 1834471 56.3674163884374 50.7980464913581 2451.14589625367 2097.14638933478 203.977096546717
"223" "Live-PL2-A06" "GAA" "CRL2097_Run140613" 0 3834 "Live" "Genomic" 1834471 0 50.7980464913581 2451.14589625367 2097.14638933478 0
"224" "Live-PL2-A06" "GAPDH" "CRL2097_Run140613" 11952 1883 "Live" "Genomic" 1834471 3460.02641055645 50.7980464913581 2451.14589625367 2097.14638933478 2045.07317485452
"225" "Live-PL2-A06" "FTL" "CRL2097_Run140613" 31295 867 "Live" "Genomic" 1834471 19676.3712321488 50.7980464913581 2451.14589625367 2097.14638933478 5411.99088392198
"226" "Live-PL2-A06" "LMNA" "CRL2097_Run140613" 393 4406 "Live" "Genomic" 1834471 48.6224912570841 50.7980464913581 2451.14589625367 2097.14638933478 187.776394884013
"227" "Live-PL2-A06" "ACTA2" "CRL2097_Run140613" 35 1841 "Live" "Genomic" 1834471 10.3634273008984 50.7980464913581 2451.14589625367 2097.14638933478 79.0245675170058
"228" "Live-PL2-A06" "ICAM1" "CRL2097_Run140613" 0 3239 "Live" "Genomic" 1834471 0 50.7980464913581 2451.14589625367 2097.14638933478 0
"229" "Live-PL2-A06" "KDM5B" "CRL2097_Run140613" 44 6356 "Live" "Genomic" 1834471 3.7736180215858 50.7980464913581 2451.14589625367 2097.14638933478 44.8858181639259
"230" "Live-PL2-A06" "ZNF444" "CRL2097_Run140613" 1 2059 "Live" "Genomic" 1834471 0.264748069950101 50.7980464913581 2451.14589625367 2097.14638933478 10.139768866312
