gene_name	exontotal
SPTLC1	3347
GFM2	3797
ENKUR	3896
PML	7695
GPR21	1593
FFAR1	922
FLJ38122	3213
LOC102031319	296
LOC283045	2617
P4HA2-AS1	833
IPO9-AS1	839
MAP4K1	2780
LIPF	1515
ORC4	7037
B4GALT3	2407
GLRX3	1588
MARK4	5225
SEMA4G	4387
MX1	3640
ZFAND6	2158
GCOM1	6768
ERBB3	6165
NME2	1237
DDR1	21531
TP53BP1	6327
AMPD2	4753
LDHB	1592
UFD1L	1771
TRAF1	4565
TP73	5506
UQCRFS1	1222
CCIN	1942
GAB1	7899
DRP2	7094
NXT1	1115
NUFIP1	3477
FSTL3	2506
DMD	15623
ADAM15	3400
EIF1B	1008
AP1S2	2323
CCNA1	2292
ADRA1A	3555
MEPCE	3276
ACSBG1	2966
KIT	5155
PDDC1	4354
SAMD7	2253
POM121L12	1269
ZNF454	2167
YIPF7	931
TAS1R1	2789
INSL3	897
DNM1L	4633
MKRN2	2838
SETD2	8412
EHMT2	27199
RBM41	6383
FGGY	3150
CEP97	4400
MAX	3029
SYNRG	8217
SARDH	3459
JKAMP	2965
CBX5	11861
EML2	3075
ACTN3	3309
MTR	10525
C11orf53	1047
FAM174A	1233
BMP1	4208
SORBS1	7551
MCM3AP-AS1	4702
PES1	2853
CXADRP2	2458
RPLP0P2	3520
AOC4P	2072
CAPZB	2895
NDUFA4	2054
GPR150	1304
LRRC48	2570
LOC101927129	1131
DUX4L6	26198
DISC1	13320
BTNL8	2404
RNF182	3791
ULK2	9112
ZNF438	3967
CACNB4	8346
RABL2B	2606
C11orf91	901
VANGL1	8760
CIDEC	1367
SGOL1	4761
CDKN2A	2073
KAT2B	4806
RFC2	1835
APAF1	7164
TNIK	6057
RMST	2090
CETN4P	626
CRSP8P	1361
CSDE1	4292
LIMS2	3076
C11orf74	1249
FAM231D	1984
ATG16L1	3387
GLRB	3203
LOC101928292	3419
ZNF234	4594
ZMYND11	5184
TMA16	1911
FGD6	9267
AHCYL1	4948
MEMO1	1803
DERA	1715
LINC00601	1164
ALDH3A2	3816
GDNF	4175
OPN1MW	3984
CSRP1	2316
EIF3F	1249
SMC2	6274
PLEKHG5	6455
C6orf48	4499
JADE1	8803
BRS3	1410
SAFB	3091
GAGE8	2051
PCDHGB5	4634
HEATR5B	6756
PRKCI	4866
NUP98	7726
NNAT	1299
NFIL3	2448
NEU2	1141
NEFM	3623
SNAR-A6	1200
SNAR-A8	1200
CELF4	4041
VPS11	3451
ATG4C	2713
LTA	11207
C15orf65	750
FBXL2	2985
LOC100996263	433
PRKCH	3846
BORA	3177
ERC1	9516
RXRB	18044
TTTY2B	3250
CROCCP3	5353
GAPDH	1883
ATP10B	7540
KIF25	1501
NCBP2	2166
HCG18	68071
CENPA	1424
BHLHB9	4276
ABI1	3763
ZNF185	4760
SORBS2	8946
LTBP1	6314
ATP6V1G2	11200
SNORD75	59
SNORD80	70
SNORD79	80
FGFBP3	2562
AMER1	8441
IGFL3	658
GVINP1	8729
SNORD78	53
SNORD77	60
SNORD76	80
TLR2	3399
ELK3	2146
SFMBT1	4537
ZNF302	3450
TRIM49D1	2936
TRIM49B	1353
AMELX	828
TAP2	47878
C19orf52	1394
TRIML1	1639
NRAP	5493
MESP2	1609
INTS6	9134
NUTM2A	3281
TERF1	2950
MARK2	5159
ZP3	1565
NR2C1	4518
DUX4L2	26198
RAP1GAP	3568
MRVI1	6645
MLST8	2047
MGAT5B	4431
IAPP	1973
HSD17B1	2225
PCDH11X	11617
CDV3	4555
PPP1R12C	2943
LIF	3966
MED21	2951
TREML1	1334
PFKFB1	1870
CXorf30	2890
AQP12B	1111
HCG27	10001
MGRN1	6454
ZNF317	4214
AOC3	4149
LRRC20	3618
DHX16	25556
DOHH	2055
C1orf106	4397
ZBED1	9472
LRP12	4142
YWHAZ	3641
TMED5	6179
DZANK1	3479
NLRP1	6081
DCAF5	8113
MED6	2399
ZFX	7872
XPNPEP2	3312
KCNE3	3067
LPCAT2	5374
CHRM4	1467
CHRM2	3018
CHRM3	2740
CFHR3	1634
MARVELD3	4257
SLC25A47	1727
DHX57	4801
IGSF1	5628
CHIA	1824
SLC16A4	2640
IRX4	2532
LIMA1	4599
SLCO4A1	2764
ZBTB46	5228
TAF4B	4737
BNIP3	1528
ARID4A	5748
PRRC2C	10350
PLAGL1	4155
TCF25	2241
PLEKHG6	3562
ARRDC3	4153
CCL19	680
DUX2	11030
ADIPOR2	3957
TSPY2	1154
FLVCR2	3806
RGS3	7274
GH2	1153
ASB10	2308
CEP170	7194
METTL2B	2173
LIN28A	4010
KIAA1524	4244
ANTXR2	8215
SCEL	3193
RREB1	8891
PLA2G7	1970
POU5F1B	1584
SAMD9	6852
HHAT	3948
HCG4B	13700
SET	3441
KIF21B	9905
NATD1	4782
FIBCD1	3315
H2AFJ	6377
CYB5R3	3506
UTY	8590
DIXDC1	7775
LDLRAD4	11045
MPST	1629
FBXW7	5014
CHEK1	4882
PRDM8	4209
PREPL	7358
ASPG	1956
TSFM	2396
SMARCA4	5838
HYKK	1303
C11orf83	1948
PIGX	3086
RAB29	3698
TMEM2	6499
PIH1D3	1919
FBXW12	1663
C16orf74	893
FTCD	2095
TCEANC2	4092
PASD1	3234
LTK	3107
NBPF4	2484
CHRDL1	4147
LTBP3	4674
PPP2R5A	3401
CPT1C	3127
TNF	13010
TMEM30A	4537
NOS3	5095
TMEM205	1292
PITRM1	3463
SGOL2	4666
LEPROTL1	3142
GKAP1	1860
PPP1R21	3193
DAG1	6584
SUCLG2	2651
PEX12	2680
PEPD	1995
MAP7	5457
F11R	4820
TAS2R16	995
ARPP21	7030
SPATS2L	7148
PTPRVP	4073
SH3GLB1	6477
IGLL5	1055
FMO9P	1355
PDE1A	6244
TTTY3B	682
C15orf38	6728
CCDC89	2427
PUF60	2052
OPLAH	4003
JOSD2	1036
PPFIA3	4712
OLIG3	2195
NUTM1	4188
RAB37	3591
PTPMT1	2737
TAC4	670
TSC22D3	2802
RNF39	18263
CHST12	2131
EDN3	3949
NLRP6	2755
PSG4	2162
SERPINB8	3778
CRCP	2916
TP53TG5	976
ME1	3503
TNFSF4	3490
GPR18	1658
HIRA	3988
GPR34	1925
FRYL	11642
GPR56	5377
COX6C	917
COPA	5633
PCMT1	1841
SLC39A10	5514
LOC101929684	1486
LOC102724341	1060
PRKD2	3902
TCF4	10497
DDAH2	9268
RPS6KA4	3120
KRT222	1729
TMEM44	2508
IQCB1	2579
USP17L18	3184
RABGAP1L	10361
MIR4252	62
UBE2F	2410
TCEAL5	1163
SATL1	2147
LOC101928837	346
HMGCLL1	4619
CT47A4	11610
C10orf25	3210
XAGE1B	4765
POLR1A	6603
CHRDL2	1707
SLC39A5	2095
SPNS1	2492
DOCK9	7990
PRG4	5031
GDPD1	3490
MRPL43	2917
UBALD2	1586
FAM169B	3291
C14orf177	1285
NRAS	4447
MPZ	1949
SIX1	2685
TNFRSF4	1097
FFAR2	2052
GPR20	1524
ALX3	1474
MCAM	3316
BRD2	32943
SNORD88B	96
CYB5RL	3525
C9orf129	1149
TOX2	2812
XAGE1E	4765
ZCCHC6	5653
SOX30	3260
STX4	2014
MBD4	2965
CTDNEP1	1846
PHYHIPL	3726
FAM13C	3754
KCNMA1	15565
ZNF559	3560
SMYD3	1739
MARCH1	5725
RERG	2320
GCFC2	4982
SPOCK3	3550
LFNG	3142
TPBG	3473
PNKP	1704
CYP4F8	1892
POU6F2	2313
SLITRK2	4412
SPATA31C1	3775
DEPDC5	6128
GRAMD3	3499
TARBP1	5100
YWHAG	3745
VAX2	1143
USP21	2340
RAPGEF6	9349
CCHCR1	18047
P2RX5	2296
ENSA	4139
PUS7L	4414
DNAJC6	6299
TPRXL	2257
ARGFXP2	1203
DPRXP4	664
NXF4	3598
MEIS3P1	2855
MRPL42P5	666
TMEM246	2087
KRBOX4	2479
MTPAP	5611
PRLH	262
EHF	5629
DNAI1	2579
MKS1	2523
DALRD3	1989
SCRIB	5181
SLC26A8	3588
RAB40A	1343
OVCH1	3392
LRRC75A-AS1	2655
CCNB3	4499
C4orf36	903
STIP1	2889
CISH	2264
LST1	7104
ALOX5	2547
SYBU	4530
ZNF83	3403
SRCRB4D	2795
CTH	2128
DPM3	545
NUP62	3642
NUP50	5491
EVC	6409
ID1	1692
SNRNP27	2156
ATF7	7337
C3orf18	2820
KIAA1109	15491
CD24	3080
HSD17B7	1510
ACAN	8822
DUSP13	1824
ACP6	1798
NUSAP1	2443
CFTR	6104
PELP1	4769
LYPD3	1701
LAT	1890
PKD2L2	2605
ACAD8	2190
ATP2C1	6245
PTPRA	3945
PELI2	5690
CAND2	4577
FAM185A	2250
ERCC8	2537
LOC401242	11145
LOC442497	2244
CD99P1	6610
LOC646813	602
LRRC3-AS1	780
LL22NC01-81G9.3	988
MIR654	80
MIR1283-1	86
MIR449C	91
MIR1185-2	84
CCDC65	1807
DHX35	3320
LOC100133461	1030
LINC01010	2056
ARHGEF34P	4191
MIR3129	75
MIR3128	65
MIR3127	75
MIR3126	73
MIR3125	77
MIR3124	66
MIR3123	74
MIR3122	72
MIR3121	76
MIR3120	80
MIR3119-2	84
TJAP1	3106
MFN2	4658
FKBP2	928
CCDC36	3057
DSG4	3685
PCDH15	12423
PRKAR1B	2962
HRG	1996
MID1	8724
FEM1A	3843
DDX55	2608
MRPL55	899
PCGF6	2220
ZIC4	5200
ADAT3	1624
ACOT11	3373
DCAF11	4838
USP44	4375
ARL6	2218
ZRANB3	7035
FAM71E1	1220
CMTM7	1346
TTTY10	1622
LRCH1	8061
FLAD1	3359
NIPA2	3493
CTIF	5805
FAM98B	4380
ICA1L	8943
CXCL16	2396
CDK12	8269
GAGE2C	2132
ZNF143	2931
ZKSCAN1	9919
SHBG	1540
PON3	1182
SCNN1G	3486
PLRG1	3343
VAV1	2910
E2F1	2693
ARID3A	2801
POLG2	1586
SEC63	6479
FAM155B	4016
SDCBP2	1784
TMF1	6862
WNT7A	1710
RBBP9	3852
TRPC6	4599
TBR1	3180
TCFL5	2450
TK2	6601
POLD3	4131
FAM189B	3181
ZNF843	2011
CCDC79	2427
CCDC68	4193
LDHA	2544
FPGS	2516
RAPSN	1663
DENR	3053
COL9A3	2453
NRROS	2461
ATF2	4835
LOC100132831	1979
MAGED4	5370
MXD3	3154
JPH3	4966
NRIP3	3802
AKIP1	1523
RIPK4	3864
FGF23	3015
FBXL15	2358
ETNPPL	2128
PXMP4	5720
ME3	2564
HERC2	15247
RGS6	6407
KLRC1	1705
UBE3B	5948
ZNF345	3925
SATB2	6323
INPP5D	5166
INHBC	3299
RASAL1	3980
YTHDF2	3058
HNRNPUL1	4282
FXYD5	1688
RBMY1D	7476
SMPD1	2466
TERT	3997
CASP7	3082
LRRC72	928
FAM135A	6374
VARS2	21360
CNOT2	4245
CHRNA6	2377
HAS3	4889
UCHL5	6555
TRIM22	3083
BVES	5777
PLA2G6	3251
NCR2	1078
CSNK1A1L	2404
HMGB4	2869
SENP8	2290
MBD3L1	747
VTI1A	4384
MBD1	4799
CCDC178	3401
LOC100505736	2253
SNORD115-41	81
SNORD115-40	81
SNORD115-39	81
SNORD115-38	81
SNORD115-37	81
RTN3	4967
DICER1-AS1	799
LOC100128554	2616
SNORD115-48	75
SNORD116-28	92
OSBP2	5208
GAL3ST1	1787
TSEN2	3729
APP	3995
CCDC110	2889
MPPED2	7201
LRRC8B	8052
SAR1A	3063
THAP5	3785
PSG8	2125
DBI	1460
STOX1	3588
MAP4K3	4328
TLK1	6009
SMR3A	595
TRPT1	1055
PRKAG3	2285
BCMO1	2416
UBAP1L	1378
C2	26045
RRNAD1	2261
HMMR	3125
PRG3	863
WFDC2	562
TBCD	4393
DDX17	4783
CIB1	1300
UNC13B	6331
CNKSR1	2515
CCL13	848
PPP1R3C	2571
ERBB2	5465
ACP1	1989
CLTCL1	5481
LOC101926888	669
LINC01176	712
FAM155A-IT1	1805
MIR202HG	812
LDB3	6505
MZT2A	690
SGSM2	4843
SGSM1	6150
ANXA2	1797
IP6K2	4109
DTNA	10700
CCPG1	8469
DCPS	1473
DDN	3742
KIR3DL2	1876
PCDHB18	3163
DIP2A	8103
LOC101928443	1993
BPHL	1906
BMPR1A	3603
PNO1	1974
GALNT7	4295
RPH3AL	2744
TMEM167B	2747
SPHK2	3227
TUFT1	3098
UBQLN4	3496
C3orf36	1666
GPR22	2963
MIR4533	70
MIR4532	50
MIR4531	46
MIR4530	55
MIR4526	86
MIR4524A	68
LOC101927641	2339
LOC101927619	2808
LOC101927577	857
C18orf54	5684
LYNX1	5854
RNF183	1208
SOCS5	4659
CALR3	1283
DRC1	2474
FBXL13	3388
PELI3	2854
GAPVD1	7038
TARDBP	4211
SIX6	1473
SHOC2	3938
FIRRE	2915
LIMS3-LOC440895	6398
LOC440895	1704
IRAK4	4328
LTB4R2	1558
DMTF1	4422
OMA1	1900
MVP	2910
NRM	12768
MXI1	3827
ZNF789	1760
MAGEB10	1950
C9orf85	1311
CACUL1	6731
CABYR	2397
IL19	1961
NAP1L5	1957
KCNC2	6072
DPH3P1	1625
ROMO1	458
CH25H	1377
NKG7	822
DMXL1	12504
TRPV4	3301
LYST	16678
LTF	2808
VIP	1580
EZR	3243
ASL	2102
ARSE	2655
NUPL2	1790
NLRC3	6588
MEF2C	6850
HRK	1834
RNMT	6191
TNFSF13	3108
SNX10	3006
KIAA1429	6622
KIAA1377	7035
KLHL12	3326
ZNF830	1656
ADCK2	2356
SLC6A13	3073
CCDC115	2483
ESPN	3518
CNTNAP4	4910
GABBR1	25128
GNB1	3182
ELK4	11842
MEP1B	2296
ELANE	919
SGPL1	5754
C3	5060
PTH	811
MTIF2	3001
MSANTD4	4084
PRRC2A	46673
OPA1	6462
CLIP2	5546
FOXL2	2916
HSCB	1082
EFEMP1	3082
ZIK1	2672
URM1	7114
WIPF2	5517
RSG1	1555
OR2J2	4299
RBP7	651
KLK12	1183
MRPS12	1321
GSTZ1	1711
SMARCAL1	3299
ZNF469	13201
NLRP3	4805
DERL1	3332
CNBP	3379
LOC101927870	2721
LOC101060019	624
LINC01152	3575
EIF4E3	6718
USP19	5325
INPP1	2156
HLTF-AS1	412
GLUD1P3	4068
TARS	3145
HYAL1	3497
TMEM249	1758
CLDN8	2145
MYL9	1193
ZPBP2	2249
ISM2	2983
TOR4A	4067
CC2D1A	3611
DXO	9498
MYO1B	5064
EFCAB1	3757
MIR338	66
MIR153-1	89
C11orf73	1340
API5	3815
AHCYL2	5759
IFFO2	5826
MSH2	3235
ATG13	6054
LRRC37A2	10321
LOC154872	665
FBXO48	2708
ACTL10	2027
TNNT1	1339
BREA2	1000
ST6GALNAC1	2704
TMEM62	2754
HOGA1	2475
PRAMEF8	4662
HMGCR	4562
A1CF	9514
BHLHA9	707
PIP5K1C	5064
CD58	1713
POLR3E	3710
TTN-AS1	6368
CECR3	1911
ISYNA1	2718
TMEM218	4247
MYH8	5998
GOLGA6B	3160
GPR173	4249
SNTG2	1870
CAMK2N1	2349
GDAP1	4028
ING3	3012
COQ10B	1969
REPS2	7935
TSACC	746
MT1E	503
C10orf32	2430
VEGFA	3769
CMKLR1	5609
RAD17	3845
ELOVL7	3872
PLEKHH3	3238
DNMT3B	4606
GPR119	1192
TBPL2	1288
SLC2A14	4526
ENOX2	4249
LILRA5	1607
ACSL6	6892
UBE2D3	5124
CRISP1	1958
EXOC2	4606
CDK2AP2	2117
PDHB	1771
VWA8-AS1	2075
MIR5095	77
MIR5047	99
MIR4804	72
MRPL28	1134
SIVA1	767
SLC34A2	4238
ELP3	3305
ARFGEF1	7186
PSMB8-AS1	12664
ADK	2427
LOC728392	1491
HPSE2	4406
SF3B3	9694
RPL13A	1172
RAD9A	2302
POLD2	2385
CKAP2	4315
GPR116	6000
NDRG4	4290
KCNA2	2814
JARID2	6188
MSR1	5479
PRSS36	2824
PAOX	1937
WHSC1	17052
HIPK1	8484
ADSSL1	2064
SLC39A7	17166
ALDH5A1	5159
VCAM1	3194
GFPT1	8683
RAD23B	4430
ASMTL-AS1	6022
BID	2652
PRMT2	7941
ATXN2L	4953
C4A	47718
PARD6A	1260
USP47	7953
NOL12	2834
PLEKHF1	1737
PPDPF	773
TRIM10	27887
CALCOCO1	3031
SLC22A18	1613
MXRA7	3890
NUP93	3692
SNAP91	5268
NDUFV3	2126
RNASEK	1024
RAB13	1705
DLGAP1-AS4	752
YTHDF3-AS1	717
DSCAM-IT1	716
EZR-AS1	347
LINC00681	502
TUBB	32933
DMBT1	7633
MDM4	10066
DCP1A	6056
QSER1	9324
TOX4	4515
FCHSD2	4470
RGS14	2391
APOBEC3B-AS1	697
ITSN1	7910
AOAH	2535
RPL6	1123
TOP2B	5307
FDXR	2441
SVIP	1385
FAM72B	2370
ARAP1	5610
C9orf116	719
DEF8	4206
PRDX3	1616
TSSK2	1815
MCM2	3490
DNAJC10	6825
PDSS1	1606
DNAJB12	4352
ALKBH4	2118
RNPC3	1870
ZNF10	4398
C5orf49	2382
VSIG4	2519
TBX4	2462
IRF2BP1	2510
PXDN	6798
ANKRD44	6421
FOLH1B	1960
KRTAP6-2	188
KRTAP6-1	218
KRTAP13-4	482
RFC3	2855
COG8	2489
WNK4	4159
HPS3	4434
IL20RB	2039
FBXO11	4125
AMTN	997
PLOD2	4039
KLK7	2128
PBX4	1722
EGLN2	2358
BPIFB3	1439
CTDSP1	2772
HAVCR2	2423
TMEM25	3000
H2AFB3	1548
BAG6	26832
ADCY4	3695
MVB12B	6750
HIST3H2A	495
PALM2-AKAP2	7507
GZMH	966
SNX21	4421
PGAP3	2692
NFX1	6127
MCM7	3762
EGFLAM	5433
BRAT1	2999
HIBADH	1990
GYS1	3602
FOXM1	3639
PLEKHB1	2883
HMGB2	1648
GUCY1A3	10330
TSNAXIP1	2899
MIR1915	79
MIR1914	79
ERCC2	3047
MFSD10	2037
SYT14	5377
PHB2	1434
TOPORS	4170
DCDC2	4809
PLEKHA1	4200
SERTAD3	1676
SLC7A5	4533
GPR68	3023
HMGA2	4603
KMT2D	19365
TEX33	1043
SLC30A7	8205
CGREF1	3037
PARD3	6107
GSS	1887
SGCB	4273
INTS9	2779
TAP1	24604
ZDHHC8	5001
CLDN7	2039
SP110	3082
SRSF10	9962
MLKL	2526
MYO5A	12184
TMEM206	2136
HLA-DQB2	8819
SH2D2A	1867
ZNF540	3525
KNTC1	6901
HSFX1	3906
GOLGB1	11235
VPS72	1692
NKD2	2059
EPHX2	2256
EMR2	6446
IMPACT	3747
FBXO6	1543
ALLC	1432
KDM3A	4891
ZAR1	1456
NDUFA11	2932
FLCN	4038
ARFGAP1	4283
TMEM161B	3471
RTN4	5191
PRKACA	2709
ADAMTSL3	7305
KCNJ3	4882
FN1	8929
EDNRB	4852
C15orf62	2489
LIPT1	2012
FAM221B	3129
ARHGEF28	6470
PTPN18	3654
CACNA1C	14117
MEPE	2294
RBPJ	6265
PARVB	2155
PQLC1	2538
UXS1	2790
MDP1	775
TYW3	3543
ZNF837	2030
GLI4	1339
RPF2	3682
RNASEH2C	2781
APBB3	2167
NXPE2	1772
VSX1	3727
ERVK13-1	8333
C1QTNF1-AS1	963
LOC100630923	2902
MND1	1096
ALG11	2561
NFU1	1186
TTN	116490
CD300A	1886
HIST2H4B	790
RALA	2805
PDK3	13124
VWA7	17382
PITX1	2380
ZKSCAN7	3996
SMG1	16002
RFK	2703
ZNF444	2059
KIAA1598	5916
DMC1	2487
RALGAPB	8646
ELF5	2567
CACNA1G	9422
NAGPA-AS1	1235
PTPN20B	6158
C1orf86	6976
APITD1	1892
STS	6367
ABCA4	7275
WBSCR22	1473
MGA	12018
TMEM135	9065
SYNJ2BP-COX16	2020
MRGPRX3	1636
FAM104A	2965
DROSHA	5461
SLC23A2	7038
DSP	9706
PLBD2	2820
STARD9	15551
DMRTC1	2188
MIR517A	86
DYSF	7220
POMT1	3366
AGFG1	8724
SERPINE2	3037
DHRS1	1715
PAFAH1B2	6403
RING1	10386
CASP5	1478
ZNF675	2205
PPP2R5D	3121
RHBDL3	4652
ACMSD	1240
CPED1	5583
PLEKHA4	3063
CYB5A	856
LCLAT1	5053
ZNF566	5282
CRYZ	2293
E2F3	5155
HIF1A	4379
CDKN3	883
SNORD116-29	84
SNORD115-44	81
SNORD115-43	324
ARL5C	935
LEMD2	3099
NAA50	6129
VTI1B	1324
C1orf61	872
EPHA2	3947
MTMR7	5273
RAET1E-AS1	1372
LINC00568	564
TRERNA1	594
LINC00359	731
SPATA42	605
LDB2	2673
ZNF414	1550
STAU2	5886
CHRND	2951
PLEKHO2	3715
CLEC2D	5435
RFX8	1717
GATA2	3756
ASCC1	3498
LRRC36	2527
PLS3	4244
NTM	4176
C10orf35	1072
SGK3	4590
WWC1	6716
THAP6	3573
PUS10	3792
TRMT10A	3836
GLIS1	2806
SDR42E1	2772
ARHGEF40	5961
METTL1	1301
C12orf65	2082
SEC14L1	6774
SYS1	5393
UROC1	3424
CHST11	5765
NLRP2	3727
C14orf178	643
ITPRIPL1	4210
ZMYND8	6378
SURF4	3391
HYI	1358
ESRRG	7357
SNAR-A12	242
CDON	8096
DHDDS	3319
IL15RA	2202
CEBPA	2630
UPK3A	1040
GRIN1	4424
PTGDS	805
SLC44A2	3528
C14orf93	2944
ADAM29	3433
TSC1	8593
SRRM5	2397
C1orf228	1673
PPIAL4B	2352
FAM115A	5950
LEPROT	5115
CACNA2D1	3783
OPRL1	3597
PQBP1	1372
ATP6V0B	1014
MTRNR2L1	1554
PPP2R3A	7266
ALDOB	2417
TTPA	2627
TSHR	4791
OMD	2539
RBL2	4864
PCDH7	9934
TMEM185A	3084
PRR7	1558
INMT	2556
ASPH	12002
PVRL1	6103
DGKZ	5386
PDGFA	2800
SPECC1L	7155
LARS	4817
NANOG	2094
MRM1	1828
TCEAL4	1342
SETD6	2971
ATAD5	6219
ACTR5	2470
AGO3	3626
PDE4D	11169
TM4SF19	1054
SOX18	1703
SPATA7	2001
STMN2	2299
NPIPB5	3809
KDM5C	6836
CD38	1483
RNF222	3063
TMEM253	1518
CDH16	2936
FBRS	2799
ZSWIM7	2002
ELF4	4262
DMKN	2512
VSTM4	8095
BRCC3	2920
ITPKC	3378
CMAS	1786
BSPRY	2342
GDAP2	10160
INVS	4055
RPIA	1825
GNAT1	3590
