cellType	gene	date	cellNumber	variable	value
CRL2097	EEF2	120501	5	numCyclin	3
CRL2097	EEF2	120501	5	cellCycleStage	G1
CRL2097	EEF2	120501	5	totalRNA	744
CRL2097	EEF2	120501	5	nucRNA	78
CRL2097	EEF2	120501	5	cytoRNA	666
CRL2097	EEF2	120501	5	totalGAPDH	1901
CRL2097	EEF2	120501	5	nucGAPDH	254
CRL2097	EEF2	120501	5	cytoGAPDH	1647
CRL2097	EEF2	120501	5	nucArea	259.843750
CRL2097	EEF2	120501	5	numTxnSites	2
CRL2097	EEF2	120501	5	avgIntron	653.576714
CRL2097	EEF2	120501	5	avgExon	1284.282932
CRL2097	EEF2	120501	5	numRnaPerTxnSiteAvgExon	1.676983
CRL2097	EEF2	120501	6	volume	2919.201317
CRL2097	EEF2	120501	6	area	3479.937500
CRL2097	EEF2	120501	6	numCyclin	2
CRL2097	EEF2	120501	6	cellCycleStage	G1
CRL2097	EEF2	120501	6	totalRNA	1332
CRL2097	EEF2	120501	6	nucRNA	62
CRL2097	EEF2	120501	6	cytoRNA	1270
CRL2097	EEF2	120501	6	totalGAPDH	3790
CRL2097	EEF2	120501	6	nucGAPDH	180
CRL2097	EEF2	120501	6	cytoGAPDH	3610
CRL2097	EEF2	120501	6	nucArea	284.187500
CRL2097	EEF2	120501	6	numTxnSites	1
CRL2097	EEF2	120501	6	avgIntron	692.340284
CRL2097	EEF2	120501	6	avgExon	1165.120807
CRL2097	EEF2	120501	6	numRnaPerTxnSiteAvgExon	0.963156
CRL2097	EEF2	120501	7	volume	1480.746377
CRL2097	EEF2	120501	7	area	1551.031250
CRL2097	EEF2	120501	7	numCyclin	7
CRL2097	EEF2	120501	7	cellCycleStage	G1
CRL2097	EEF2	120501	7	totalRNA	828
CRL2097	EEF2	120501	7	nucRNA	37
CRL2097	EEF2	120501	7	cytoRNA	791
CRL2097	EEF2	120501	7	totalGAPDH	1955
CRL2097	EEF2	120501	7	nucGAPDH	120
CRL2097	EEF2	120501	7	cytoGAPDH	1835
CRL2097	EEF2	120501	7	nucArea	176.750000
CRL2097	EEF2	120501	7	numTxnSites	2
CRL2097	EEF2	120501	7	avgIntron	740.549695
CRL2097	EEF2	120501	7	avgExon	1751.532385
CRL2097	EEF2	120501	7	numRnaPerTxnSiteAvgExon	2.069995
CRL2097	EEF2	120501	8	volume	2312.853581
CRL2097	EEF2	120501	8	area	2809.015625
CRL2097	EEF2	120501	8	numCyclin	10
CRL2097	EEF2	120501	8	cellCycleStage	G1
CRL2097	EEF2	120501	8	totalRNA	1006
CRL2097	EEF2	120501	8	nucRNA	64
CRL2097	EEF2	120501	8	cytoRNA	942
CRL2097	EEF2	120501	8	totalGAPDH	2764
CRL2097	EEF2	120501	8	nucGAPDH	134
CRL2097	EEF2	120501	8	cytoGAPDH	2630
CRL2097	EEF2	120501	8	nucArea	179.859375
CRL2097	EEF2	120501	8	numTxnSites	2
CRL2097	EEF2	120501	8	avgIntron	578.528871
CRL2097	EEF2	120501	8	avgExon	1161.615431
CRL2097	EEF2	120501	8	numRnaPerTxnSiteAvgExon	1.098239
CRL2097	EEF2	120501	9	volume	1186.405154
CRL2097	EEF2	120501	9	area	1279.406250
CRL2097	EEF2	120501	9	numCyclin	7
CRL2097	EEF2	120501	9	cellCycleStage	G1
CRL2097	EEF2	120501	9	totalRNA	616
CRL2097	EEF2	120501	9	nucRNA	32
CRL2097	EEF2	120501	9	cytoRNA	584
CRL2097	EEF2	120501	9	totalGAPDH	1711
CRL2097	EEF2	120501	9	nucGAPDH	108
CRL2097	EEF2	120501	9	cytoGAPDH	1603
CRL2097	EEF2	120501	9	nucArea	172.453125
CRL2097	EEF2	120501	9	numTxnSites	2
CRL2097	EEF2	120501	9	avgIntron	814.597925
CRL2097	EEF2	120501	9	avgExon	2275.706168
CRL2097	EEF2	120501	9	numRnaPerTxnSiteAvgExon	1.828545
CRL2097	EEF2	120501	10	volume	2550.178883
CRL2097	EEF2	120501	10	area	2891.328125
CRL2097	EEF2	120501	10	numCyclin	1
CRL2097	EEF2	120501	10	cellCycleStage	G1
CRL2097	EEF2	120501	10	totalRNA	1349
CRL2097	EEF2	120501	10	nucRNA	54
CRL2097	EEF2	120501	10	cytoRNA	1295
CRL2097	EEF2	120501	10	totalGAPDH	2902
CRL2097	EEF2	120501	10	nucGAPDH	114
CRL2097	EEF2	120501	10	cytoGAPDH	2788
CRL2097	EEF2	120501	10	nucArea	225.281250
CRL2097	EEF2	120501	10	numTxnSites	0
CRL2097	EEF2	120501	10	avgIntron	NaN
CRL2097	EEF2	120501	10	avgExon	NaN
CRL2097	EEF2	120501	10	numRnaPerTxnSiteAvgExon	NaN
CRL2097	EEF2	120501	11	volume	4859.566225
CRL2097	EEF2	120501	11	area	6582.046875
CRL2097	EEF2	120501	11	numCyclin	12
CRL2097	EEF2	120501	11	cellCycleStage	G1
CRL2097	EEF2	120501	11	totalRNA	2250
CRL2097	EEF2	120501	11	nucRNA	101
CRL2097	EEF2	120501	11	cytoRNA	2149
CRL2097	EEF2	120501	11	totalGAPDH	5577
CRL2097	EEF2	120501	11	nucGAPDH	204
CRL2097	EEF2	120501	11	cytoGAPDH	5373
CRL2097	EEF2	120501	11	nucArea	401.250000
CRL2097	EEF2	120501	11	numTxnSites	2
CRL2097	EEF2	120501	11	avgIntron	1007.822290
CRL2097	EEF2	120501	11	avgExon	2244.701837
CRL2097	EEF2	120501	11	numRnaPerTxnSiteAvgExon	2.298968
CRL2097	EEF2	120501	12	volume	2467.652869
CRL2097	EEF2	120501	12	area	3417.515625
CRL2097	EEF2	120501	12	numCyclin	17
CRL2097	EEF2	120501	12	cellCycleStage	G1
CRL2097	EEF2	120501	12	totalRNA	1157
CRL2097	EEF2	120501	12	nucRNA	41
CRL2097	EEF2	120501	12	cytoRNA	1116
CRL2097	EEF2	120501	12	totalGAPDH	2956
CRL2097	EEF2	120501	12	nucGAPDH	114
CRL2097	EEF2	120501	12	cytoGAPDH	2842
CRL2097	EEF2	120501	12	nucArea	247.453125
CRL2097	EEF2	120501	12	numTxnSites	2
CRL2097	EEF2	120501	12	avgIntron	874.912520
CRL2097	EEF2	120501	12	avgExon	1999.783849
CRL2097	EEF2	120501	12	numRnaPerTxnSiteAvgExon	2.297122
CRL2097	EEF2	120501	13	volume	4391.366243
CRL2097	EEF2	120501	13	area	5445.250000
CRL2097	EEF2	120501	13	numCyclin	7
CRL2097	EEF2	120501	13	cellCycleStage	G1
CRL2097	EEF2	120501	13	totalRNA	1932
CRL2097	EEF2	120501	13	nucRNA	62
CRL2097	EEF2	120501	13	cytoRNA	1870
CRL2097	EEF2	120501	13	totalGAPDH	4775
CRL2097	EEF2	120501	13	nucGAPDH	135
CRL2097	EEF2	120501	13	cytoGAPDH	4640
CRL2097	EEF2	120501	13	nucArea	313.109375
CRL2097	EEF2	120501	13	numTxnSites	1
CRL2097	EEF2	120501	13	avgIntron	1581.043421
CRL2097	EEF2	120501	13	avgExon	4181.963240
CRL2097	EEF2	120501	13	numRnaPerTxnSiteAvgExon	3.687623
CRL2097	EEF2	120501	14	volume	1416.058953
CRL2097	EEF2	120501	14	area	1894.906250
CRL2097	EEF2	120501	14	numCyclin	60
CRL2097	EEF2	120501	14	cellCycleStage	G1
CRL2097	EEF2	120501	14	totalRNA	777
CRL2097	EEF2	120501	14	nucRNA	47
CRL2097	EEF2	120501	14	cytoRNA	730
CRL2097	EEF2	120501	14	totalGAPDH	1876
CRL2097	EEF2	120501	14	nucGAPDH	86
CRL2097	EEF2	120501	14	cytoGAPDH	1790
CRL2097	EEF2	120501	14	nucArea	192.796875
CRL2097	EEF2	120501	14	numTxnSites	2
CRL2097	EEF2	120501	14	avgIntron	1537.494257
CRL2097	EEF2	120501	14	avgExon	3181.470896
CRL2097	EEF2	120501	14	numRnaPerTxnSiteAvgExon	2.915915
CRL2097	EEF2	120501	15	volume	1322.094148
CRL2097	EEF2	120501	15	area	1744.687500
CRL2097	EEF2	120501	15	numCyclin	3
CRL2097	EEF2	120501	15	cellCycleStage	G1
CRL2097	EEF2	120501	15	totalRNA	961
CRL2097	EEF2	120501	15	nucRNA	58
CRL2097	EEF2	120501	15	cytoRNA	903
CRL2097	EEF2	120501	15	totalGAPDH	2253
CRL2097	EEF2	120501	15	nucGAPDH	141
CRL2097	EEF2	120501	15	cytoGAPDH	2112
CRL2097	EEF2	120501	15	nucArea	179.140625
CRL2097	EEF2	120501	15	numTxnSites	3
CRL2097	EEF2	120501	15	avgIntron	975.964587
CRL2097	EEF2	120501	15	avgExon	2118.883455
CRL2097	EEF2	120501	15	numRnaPerTxnSiteAvgExon	1.717071
CRL2097	EEF2	120501	16	volume	1738.330554
CRL2097	EEF2	120501	16	area	1943.687500
CRL2097	EEF2	120501	16	numCyclin	138
CRL2097	EEF2	120501	16	cellCycleStage	G2
CRL2097	EEF2	120501	16	totalRNA	974
CRL2097	EEF2	120501	16	nucRNA	60
CRL2097	EEF2	120501	16	cytoRNA	914
CRL2097	EEF2	120501	16	totalGAPDH	2361
CRL2097	EEF2	120501	16	nucGAPDH	143
CRL2097	EEF2	120501	16	cytoGAPDH	2218
CRL2097	EEF2	120501	16	nucArea	314.328125
CRL2097	EEF2	120501	16	numTxnSites	1
CRL2097	EEF2	120501	16	avgIntron	2168.742484
CRL2097	EEF2	120501	16	avgExon	4010.606698
CRL2097	EEF2	120501	16	numRnaPerTxnSiteAvgExon	3.429615
CRL2097	EEF2	120501	17	volume	1687.242524
CRL2097	EEF2	120501	17	area	3136.187500
CRL2097	EEF2	120501	17	numCyclin	6
CRL2097	EEF2	120501	17	cellCycleStage	G1
CRL2097	EEF2	120501	17	totalRNA	1016
CRL2097	EEF2	120501	17	nucRNA	55
CRL2097	EEF2	120501	17	cytoRNA	961
CRL2097	EEF2	120501	17	totalGAPDH	2300
CRL2097	EEF2	120501	17	nucGAPDH	138
CRL2097	EEF2	120501	17	cytoGAPDH	2162
CRL2097	EEF2	120501	17	nucArea	219.859375
CRL2097	EEF2	120501	17	numTxnSites	2
CRL2097	EEF2	120501	17	avgIntron	792.006323
CRL2097	EEF2	120501	17	avgExon	1120.903862
CRL2097	EEF2	120501	17	numRnaPerTxnSiteAvgExon	1.194323
CRL2097	EEF2	120501	18	volume	1838.553175
CRL2097	EEF2	120501	18	area	2686.859375
CRL2097	EEF2	120501	18	numCyclin	103
CRL2097	EEF2	120501	18	cellCycleStage	G2
CRL2097	EEF2	120501	18	totalRNA	1236
CRL2097	EEF2	120501	18	nucRNA	63
CRL2097	EEF2	120501	18	cytoRNA	1173
CRL2097	EEF2	120501	18	totalGAPDH	2835
CRL2097	EEF2	120501	18	nucGAPDH	164
CRL2097	EEF2	120501	18	cytoGAPDH	2671
CRL2097	EEF2	120501	18	nucArea	261.218750
CRL2097	EEF2	120501	18	numTxnSites	1
CRL2097	EEF2	120501	18	avgIntron	4171.979776
CRL2097	EEF2	120501	18	avgExon	7452.189995
CRL2097	EEF2	120501	18	numRnaPerTxnSiteAvgExon	5.861334
CRL2097	EEF2	120501	19	volume	1005.207262
CRL2097	EEF2	120501	19	area	1486.828125
CRL2097	EEF2	120501	19	numCyclin	120
CRL2097	EEF2	120501	19	cellCycleStage	G2
CRL2097	EEF2	120501	19	totalRNA	830
CRL2097	EEF2	120501	19	nucRNA	46
CRL2097	EEF2	120501	19	cytoRNA	784
CRL2097	EEF2	120501	19	totalGAPDH	1757
CRL2097	EEF2	120501	19	nucGAPDH	155
CRL2097	EEF2	120501	19	cytoGAPDH	1602
CRL2097	EEF2	120501	19	nucArea	193.296875
CRL2097	EEF2	120501	19	numTxnSites	3
CRL2097	EEF2	120501	19	avgIntron	822.931918
CRL2097	EEF2	120501	19	avgExon	2116.946912
CRL2097	EEF2	120501	19	numRnaPerTxnSiteAvgExon	2.866554
CRL2097	EEF2	120501	20	volume	3594.875908
CRL2097	EEF2	120501	20	area	8013.187500
CRL2097	EEF2	120501	20	numCyclin	1
CRL2097	EEF2	120501	20	cellCycleStage	G1
CRL2097	EEF2	120501	20	totalRNA	2027
CRL2097	EEF2	120501	20	nucRNA	86
CRL2097	EEF2	120501	20	cytoRNA	1941
CRL2097	EEF2	120501	20	totalGAPDH	4926
CRL2097	EEF2	120501	20	nucGAPDH	242
CRL2097	EEF2	120501	20	cytoGAPDH	4684
CRL2097	EEF2	120501	20	nucArea	311.812500
CRL2097	EEF2	120501	20	numTxnSites	3
CRL2097	EEF2	120501	20	avgIntron	929.079256
CRL2097	EEF2	120501	20	avgExon	1437.312786
CRL2097	EEF2	120501	20	numRnaPerTxnSiteAvgExon	1.565964
CRL2097	EEF2	120501	21	volume	3260.172037
CRL2097	EEF2	120501	21	area	1831.578125
CRL2097	EEF2	120501	21	numCyclin	182
CRL2097	EEF2	120501	21	cellCycleStage	G2
CRL2097	EEF2	120501	21	totalRNA	601
CRL2097	EEF2	120501	21	nucRNA	1
CRL2097	EEF2	120501	21	cytoRNA	600
CRL2097	EEF2	120501	21	totalGAPDH	2957
CRL2097	EEF2	120501	21	nucGAPDH	3
CRL2097	EEF2	120501	21	cytoGAPDH	2954
CRL2097	EEF2	120501	21	nucArea	2.921875
CRL2097	EEF2	120501	21	numTxnSites	0
CRL2097	EEF2	120501	21	avgIntron	NaN
CRL2097	EEF2	120501	21	avgExon	NaN
CRL2097	EEF2	120501	21	numRnaPerTxnSiteAvgExon	NaN
CRL2097	EEF2	120501	22	volume	2346.452988
CRL2097	EEF2	120501	22	area	1812.812500
CRL2097	EEF2	120501	22	numCyclin	210
CRL2097	EEF2	120501	22	cellCycleStage	G2
CRL2097	EEF2	120501	22	totalRNA	1364
CRL2097	EEF2	120501	22	nucRNA	72
CRL2097	EEF2	120501	22	cytoRNA	1292
CRL2097	EEF2	120501	22	totalGAPDH	3032
CRL2097	EEF2	120501	22	nucGAPDH	170
CRL2097	EEF2	120501	22	cytoGAPDH	2862
CRL2097	EEF2	120501	22	nucArea	304.937500
CRL2097	EEF2	120501	22	numTxnSites	2
CRL2097	EEF2	120501	22	avgIntron	632.804218
CRL2097	EEF2	120501	22	avgExon	1354.227051
CRL2097	EEF2	120501	22	numRnaPerTxnSiteAvgExon	1.416690
CRL2097	EEF2	120501	23	volume	1549.420134
CRL2097	EEF2	120501	23	area	1945.718750
CRL2097	EEF2	120501	23	numCyclin	2
CRL2097	EEF2	120501	23	cellCycleStage	G1
CRL2097	EEF2	120501	23	totalRNA	613
CRL2097	EEF2	120501	23	nucRNA	47
CRL2097	EEF2	120501	23	cytoRNA	566
CRL2097	EEF2	120501	23	totalGAPDH	2193
CRL2097	EEF2	120501	23	nucGAPDH	127
CRL2097	EEF2	120501	23	cytoGAPDH	2066
CRL2097	EEF2	120501	23	nucArea	193.296875
CRL2097	EEF2	120501	23	numTxnSites	1
CRL2097	EEF2	120501	23	avgIntron	1140.395617
CRL2097	EEF2	120501	23	avgExon	2121.881191
CRL2097	EEF2	120501	23	numRnaPerTxnSiteAvgExon	1.893773
CRL2097	EEF2	120501	24	volume	1752.644743
CRL2097	EEF2	120501	24	area	2030.125000
CRL2097	EEF2	120501	24	numCyclin	6
CRL2097	EEF2	120501	24	cellCycleStage	G1
CRL2097	EEF2	120501	24	totalRNA	903
CRL2097	EEF2	120501	24	nucRNA	39
CRL2097	EEF2	120501	24	cytoRNA	864
CRL2097	EEF2	120501	24	totalGAPDH	2481
CRL2097	EEF2	120501	24	nucGAPDH	124
CRL2097	EEF2	120501	24	cytoGAPDH	2357
CRL2097	EEF2	120501	24	nucArea	219.562500
CRL2097	EEF2	120501	24	numTxnSites	1
CRL2097	EEF2	120501	24	avgIntron	1026.006392
CRL2097	EEF2	120501	24	avgExon	1808.580419
CRL2097	EEF2	120501	24	numRnaPerTxnSiteAvgExon	2.394527
CRL2097	EEF2	120501	25	volume	1769.647962
CRL2097	EEF2	120501	25	area	2759.093750
CRL2097	EEF2	120501	25	numCyclin	7
CRL2097	EEF2	120501	25	cellCycleStage	G1
CRL2097	EEF2	120501	25	totalRNA	758
CRL2097	EEF2	120501	25	nucRNA	50
CRL2097	EEF2	120501	25	cytoRNA	708
CRL2097	EEF2	120501	25	totalGAPDH	2158
CRL2097	EEF2	120501	25	nucGAPDH	129
CRL2097	EEF2	120501	25	cytoGAPDH	2029
CRL2097	EEF2	120501	25	nucArea	219.171875
CRL2097	EEF2	120501	25	numTxnSites	1
CRL2097	EEF2	120501	25	avgIntron	1206.343390
CRL2097	EEF2	120501	25	avgExon	2347.309846
CRL2097	EEF2	120501	25	numRnaPerTxnSiteAvgExon	2.365822
CRL2097	EEF2	120501	26	volume	3922.169913
CRL2097	EEF2	120501	26	area	4324.437500
CRL2097	EEF2	120501	26	numCyclin	4
CRL2097	EEF2	120501	26	cellCycleStage	G1
CRL2097	EEF2	120501	26	totalRNA	1444
CRL2097	EEF2	120501	26	nucRNA	145
CRL2097	EEF2	120501	26	cytoRNA	1299
CRL2097	EEF2	120501	26	totalGAPDH	3981
CRL2097	EEF2	120501	26	nucGAPDH	379
CRL2097	EEF2	120501	26	cytoGAPDH	3602
CRL2097	EEF2	120501	26	nucArea	224.109375
CRL2097	EEF2	120501	26	numTxnSites	1
CRL2097	EEF2	120501	26	avgIntron	758.179248
CRL2097	EEF2	120501	26	avgExon	899.609327
CRL2097	EEF2	120501	26	numRnaPerTxnSiteAvgExon	1.037076
CRL2097	EEF2	120501	27	volume	2624.301504
CRL2097	EEF2	120501	27	area	2642.203125
CRL2097	EEF2	120501	27	numCyclin	15
CRL2097	EEF2	120501	27	cellCycleStage	G1
CRL2097	EEF2	120501	27	totalRNA	1080
CRL2097	EEF2	120501	27	nucRNA	94
CRL2097	EEF2	120501	27	cytoRNA	986
CRL2097	EEF2	120501	27	totalGAPDH	3176
CRL2097	EEF2	120501	27	nucGAPDH	316
CRL2097	EEF2	120501	27	cytoGAPDH	2860
CRL2097	EEF2	120501	27	nucArea	200.859375
CRL2097	EEF2	120501	27	numTxnSites	2
CRL2097	EEF2	120501	27	avgIntron	1419.787917
CRL2097	EEF2	120501	27	avgExon	1477.617061
CRL2097	EEF2	120501	27	numRnaPerTxnSiteAvgExon	1.389403
CRL2097	EEF2	120501	28	volume	3599.918736
CRL2097	EEF2	120501	28	area	6201.796875
CRL2097	EEF2	120501	28	numCyclin	6
CRL2097	EEF2	120501	28	cellCycleStage	G1
CRL2097	EEF2	120501	28	totalRNA	1809
CRL2097	EEF2	120501	28	nucRNA	95
CRL2097	EEF2	120501	28	cytoRNA	1714
CRL2097	EEF2	120501	28	totalGAPDH	5167
CRL2097	EEF2	120501	28	nucGAPDH	336
CRL2097	EEF2	120501	28	cytoGAPDH	4831
CRL2097	EEF2	120501	28	nucArea	285.046875
CRL2097	EEF2	120501	28	numTxnSites	3
CRL2097	EEF2	120501	28	avgIntron	858.129373
CRL2097	EEF2	120501	28	avgExon	1566.246080
CRL2097	EEF2	120501	28	numRnaPerTxnSiteAvgExon	1.550772
CRL2097	EEF2	120501	29	volume	2379.058424
CRL2097	EEF2	120501	29	area	3462.125000
CRL2097	EEF2	120501	29	numCyclin	11
CRL2097	EEF2	120501	29	cellCycleStage	G1
CRL2097	EEF2	120501	29	totalRNA	1082
CRL2097	EEF2	120501	29	nucRNA	51
CRL2097	EEF2	120501	29	cytoRNA	1031
CRL2097	EEF2	120501	29	totalGAPDH	2498
CRL2097	EEF2	120501	29	nucGAPDH	116
CRL2097	EEF2	120501	29	cytoGAPDH	2382
CRL2097	EEF2	120501	29	nucArea	276.765625
CRL2097	EEF2	120501	29	numTxnSites	1
CRL2097	EEF2	120501	29	avgIntron	1031.539352
CRL2097	EEF2	120501	29	avgExon	1662.875737
CRL2097	EEF2	120501	29	numRnaPerTxnSiteAvgExon	1.810734
CRL2097	EEF2	120501	30	volume	2002.966392
CRL2097	EEF2	120501	30	area	2782.921875
CRL2097	EEF2	120501	30	numCyclin	5
CRL2097	EEF2	120501	30	cellCycleStage	G1
CRL2097	EEF2	120501	30	totalRNA	920
CRL2097	EEF2	120501	30	nucRNA	46
CRL2097	EEF2	120501	30	cytoRNA	874
CRL2097	EEF2	120501	30	totalGAPDH	1945
CRL2097	EEF2	120501	30	nucGAPDH	104
CRL2097	EEF2	120501	30	cytoGAPDH	1841
CRL2097	EEF2	120501	30	nucArea	232.125000
CRL2097	EEF2	120501	30	numTxnSites	0
CRL2097	EEF2	120501	30	avgIntron	NaN
CRL2097	EEF2	120501	30	avgExon	NaN
CRL2097	EEF2	120501	30	numRnaPerTxnSiteAvgExon	NaN
CRL2097	EEF2	120501	31	volume	3537.390811
CRL2097	EEF2	120501	31	area	3730.843750
CRL2097	EEF2	120501	31	numCyclin	90
CRL2097	EEF2	120501	31	cellCycleStage	G1
CRL2097	EEF2	120501	31	totalRNA	1234
CRL2097	EEF2	120501	31	nucRNA	54
CRL2097	EEF2	120501	31	cytoRNA	1180
CRL2097	EEF2	120501	31	totalGAPDH	3190
CRL2097	EEF2	120501	31	nucGAPDH	116
CRL2097	EEF2	120501	31	cytoGAPDH	3074
CRL2097	EEF2	120501	31	nucArea	325.718750
CRL2097	EEF2	120501	31	numTxnSites	3
CRL2097	EEF2	120501	31	avgIntron	799.789697
CRL2097	EEF2	120501	31	avgExon	848.715658
CRL2097	EEF2	120501	31	numRnaPerTxnSiteAvgExon	0.781415
CRL2097	EEF2	120501	32	volume	4617.690372
CRL2097	EEF2	120501	32	area	3530.328125
CRL2097	EEF2	120501	32	numCyclin	506
CRL2097	EEF2	120501	32	cellCycleStage	G2
CRL2097	EEF2	120501	32	totalRNA	1802
CRL2097	EEF2	120501	32	nucRNA	109
CRL2097	EEF2	120501	32	cytoRNA	1693
CRL2097	EEF2	120501	32	totalGAPDH	4250
CRL2097	EEF2	120501	32	nucGAPDH	235
CRL2097	EEF2	120501	32	cytoGAPDH	4015
CRL2097	EEF2	120501	32	nucArea	401.078125
CRL2097	EEF2	120501	32	numTxnSites	1
CRL2097	EEF2	120501	32	avgIntron	2124.967229
CRL2097	EEF2	120501	32	avgExon	2888.310404
CRL2097	EEF2	120501	32	numRnaPerTxnSiteAvgExon	2.807733
CRL2097	EEF2	120501	33	volume	1620.126806
CRL2097	EEF2	120501	33	area	1049.390625
CRL2097	EEF2	120501	33	numCyclin	308
CRL2097	EEF2	120501	33	cellCycleStage	G2
CRL2097	EEF2	120501	33	totalRNA	921
CRL2097	EEF2	120501	33	nucRNA	50
CRL2097	EEF2	120501	33	cytoRNA	871
CRL2097	EEF2	120501	33	totalGAPDH	1840
CRL2097	EEF2	120501	33	nucGAPDH	94
CRL2097	EEF2	120501	33	cytoGAPDH	1746
CRL2097	EEF2	120501	33	nucArea	175.828125
CRL2097	EEF2	120501	33	numTxnSites	2
CRL2097	EEF2	120501	33	avgIntron	362.902186
CRL2097	EEF2	120501	33	avgExon	784.586747
CRL2097	EEF2	120501	33	numRnaPerTxnSiteAvgExon	1.405603
CRL2097	EEF2	120501	34	volume	1023.708884
CRL2097	EEF2	120501	34	area	1466.812500
CRL2097	EEF2	120501	34	numCyclin	1
CRL2097	EEF2	120501	34	cellCycleStage	G1
CRL2097	EEF2	120501	34	totalRNA	533
CRL2097	EEF2	120501	34	nucRNA	29
CRL2097	EEF2	120501	34	cytoRNA	504
CRL2097	EEF2	120501	34	totalGAPDH	1703
CRL2097	EEF2	120501	34	nucGAPDH	92
CRL2097	EEF2	120501	34	cytoGAPDH	1611
CRL2097	EEF2	120501	34	nucArea	153.484375
CRL2097	EEF2	120501	34	numTxnSites	2
CRL2097	EEF2	120501	34	avgIntron	1317.418690
CRL2097	EEF2	120501	34	avgExon	1682.275890
CRL2097	EEF2	120501	34	numRnaPerTxnSiteAvgExon	1.262054
CRL2097	EEF2	120501	35	volume	899.226804
CRL2097	EEF2	120501	35	area	841.406250
CRL2097	EEF2	120501	35	numCyclin	3
CRL2097	EEF2	120501	35	cellCycleStage	G1
CRL2097	EEF2	120501	35	totalRNA	374
CRL2097	EEF2	120501	35	nucRNA	37
CRL2097	EEF2	120501	35	cytoRNA	337
CRL2097	EEF2	120501	35	totalGAPDH	1289
CRL2097	EEF2	120501	35	nucGAPDH	147
CRL2097	EEF2	120501	35	cytoGAPDH	1142
CRL2097	EEF2	120501	35	nucArea	131.375000
CRL2097	EEF2	120501	35	numTxnSites	0
CRL2097	EEF2	120501	35	avgIntron	NaN
CRL2097	EEF2	120501	35	avgExon	NaN
CRL2097	EEF2	120501	35	numRnaPerTxnSiteAvgExon	NaN
