gene_name	transcript_id	halflife	FPKM
ADD1	NM_001119	9.33 	63.9721
ADD1	NM_014190	9.33 	63.9721
ADD1	NM_176801	9.33 	63.9721
ADD1	NM_014189	9.33 	63.9721
ADD2	NM_017482	N.D.	0.0578056
ADD2	NM_017488	N.D.	0.0578056
ADD2	NM_001617	N.D.	0.0578056
ADD3	NM_001121	6.00 	20.6057
ADD3	NM_019903	6.00 	20.6057
ADD3	NM_016824	6.00 	20.6057
ADH1A	NM_000667	N.D.	6.08435e-11
ADH1B	NM_000668	N.D.	0.269669
ADH1C	NM_000669	N.D.	0.231981
ADH4	NM_000670	N.D.	0
ADH5	NM_000671	11.25 	50.5148
ADH6	NM_000672	N.D.	0
ADH7	NM_000673	N.D.	0
ADHFE1	NM_144650	N.D.	1.30891
ADI1	NM_018269	19.83 	39.6846
ADIG	NM_001018082	N.D.	0
ADIPOQ	NM_004797	N.D.	0
ADIPOR1	NM_015999	10.63 	49.2402
ADIPOR2	NM_024551	4.57 	16.8637
ADK	NM_006721	3.17 	18.0966
ADK	NM_001123	3.17 	18.0966
ADM	NM_001124	2.27 	339.15
ADM2	NM_024866	N.D.	14.5694
ADNP	NM_181442	2.60 	12.2459
ADNP	NM_015339	2.60 	12.2459
ADNP2	NM_014913	2.30 	4.368
ADO	NM_032804	2.25 	10.5117
ADORA1	NM_001048230	N.D.	0.790418
ADORA1	NM_000674	N.D.	0.790418
ADORA2A	NM_000675	N.D.	0.217123
ADORA2B	NM_000676	2.67 	3.60247
ADORA3	NM_000677	N.D.	0.0658988
ADORA3	NM_020683	N.D.	0.0658988
ADPGK	NM_031284	4.38 	15.7421
ADPRH	NM_001125	N.D.	2.25863
ADPRHL1	NM_199162	2.99 	0.49731
ADPRHL1	NM_138430	2.99 	0.49731
ADPRHL2	NM_017825	2.86 	18.3976
ADPRM	NM_020233	2.20 	4.98532
ADRA1A	NM_033304	N.D.	0
ADRA1A	NM_033302	N.D.	0
ADRA1A	NM_000680	N.D.	0
ADRA1A	NM_033303	N.D.	0
ADRA1B	NM_000679	>24	2.37424
ADRA1D	NM_000678	N.D.	1.79051
ADRA2A	NM_000681	N.D.	2.00305
ADRA2B	NM_000682	N.D.	0
ADRA2C	NM_000683	N.D.	0.359975
ADRB1	NM_000684	N.D.	0.0449132
ADRB2	NM_000024	N.D.	0.877723
ADRB3	NM_000025	N.D.	0
ADRBK1	NM_001619	5.67 	15.8321
ADRBK2	NM_005160	2.82 	0.397714
ADRM1	NM_007002	5.57 	63.0983
ADRM1	NM_175573	5.57 	63.0983
ADSL	NM_000026	21.60 	33.1359
ADSS	NM_001126	3.45 	14.189
ADSSL1	NM_152328	3.08 	2.44708
ADSSL1	NM_199165	3.08 	2.44708
ADTRP	NM_032744	N.D.	0.386777
AEBP1	NM_001129	N.D.	347.825
AEBP2	NM_153207	2.94 	4.37908
AEN	NM_022767	2.35 	15.5262
AES	NM_198970	20.44 	173.974
AES	NM_001130	20.44 	173.974
AES	NM_198969	20.44 	173.974
AFAP1	NM_198595	3.17 	15.913
AFAP1L1	NM_152406	9.29 	2.07576
AFAP1L2	NM_001001936	N.D.	0.00845189
AFAP1L2	NM_032550	N.D.	0.00845189
AFF1	NM_005935	3.08 	4.02321
AFF2	NM_002025	N.D.	0.180532
AFF3	NM_002285	N.D.	3.98495
AFF3	NM_001025108	N.D.	3.98495
AFF4	NM_014423	5.19 	9.36763
AFG3L2	NM_006796	9.38 	16.4718
AFM	NM_001133	N.D.	0
AFMID	NM_001010982	6.86 	5.29602
AFP	NM_001134	N.D.	0.0143644
AFTPH	NM_001002243	2.94 	5.46948
AFTPH	NM_203437	2.94 	5.46948
AFTPH	NM_017657	2.94 	5.46948
AGA	NM_000027	4.00 	24.2209
AGAP1	NM_001037131	2.74 	2.49162
AGAP1	NM_014914	2.74 	2.49162
AGAP2	NM_014770	5.62 	0.106271
AGAP3	NM_001042535	3.39 	30.9784
AGAP3	NM_031946	3.39 	30.9784
AGAP4	NM_133446	N.D.	0.30714
AGBL1	NM_152336	N.D.	0
AGBL2	NM_024783	N.D.	0.0741058
AGBL4	NM_032785	N.D.	0
AGBL5	NM_021831	>24	8.22404
AGBL5	NM_001035507	>24	8.22404
AGFG1	NM_004504	8.13 	5.78706
AGFG2	NM_006076	3.13 	0.978075
AGGF1	NM_018046	3.33 	5.43321
AGK	NM_018238	8.00 	5.14405
AGL	NM_000028	15.11 	2.53542
AGL	NM_000646	15.11 	2.53542
AGL	NM_000645	15.11 	2.53542
AGL	NM_000644	15.11 	2.53542
AGL	NM_000642	15.11 	2.53542
AGL	NM_000643	15.11 	2.53542
AGMAT	NM_024758	14.40 	0.394741
AGMO	NM_001004320	N.D.	0.0360738
AGPAT2	NM_006412	10.43 	49.0853
AGPAT2	NM_001012727	10.43 	49.0853
AGPAT3	NM_020132	6.15 	16.7705
AGPAT3	NM_001037553	6.15 	16.7705
AGPAT4	NM_020133	2.30 	0.851911
AGPAT5	NM_018361	3.45 	3.08622
AGPAT6	NM_178819	6.57 	12.7344
AGPAT9	NM_032717	3.33 	0.305303
AGPHD1	NM_001013619	N.D.	1.2717
AGPS	NM_003659	9.33 	4.11055
AGR2	NM_006408	N.D.	0
AGR3	NM_176813	N.D.	0
AGRN	NM_198576	3.85 	59.71
AGRP	NM_001138	N.D.	0.0680634
AGT	NM_000029	>24	8.94833
AGTPBP1	NM_015239	3.33 	1.95075
AGTR1	NM_000685	N.D.	0.135114
AGTR1	NM_032049	N.D.	0.135114
AGTR1	NM_031850	N.D.	0.135114
AGTR1	NM_009585	N.D.	0.135114
AGTR1	NM_004835	N.D.	0.135114
AGTR2	NM_000686	N.D.	0
AGTRAP	NM_001040195	14.74 	36.4894
AGTRAP	NM_001040194	14.74 	36.4894
AGTRAP	NM_020350	14.74 	36.4894
AGTRAP	NM_001040196	14.74 	36.4894
AGTRAP	NM_001040197	14.74 	36.4894
AGXT	NM_000030	N.D.	0
AGXT2	NM_031900	N.D.	0
AGXT2L1	NM_031279	N.D.	0
AGXT2L2	NM_153373	4.00 	6.80057
AHCTF1	NM_015446	3.28 	1.84651
AHCY	NM_000687	>24	63.4225
AHCYL1	NM_006621	16.80 	42.8473
AHCYL2	NM_015328	9.00 	2.35741
AHDC1	NM_001029882	2.53 	7.97541
AHI1	NM_017651	2.70 	2.62578
AHNAK	NM_001620	10.92 	40.4325
AHNAK	NM_024060	10.92 	40.4325
AHR	NM_001621	2.78 	7.28442
AHRR	NM_020731	5.71 	14.5849
AHSA1	NM_012111	9.52 	53.2206
AHSA2	NM_152392	2.41 	5.9436
AHSG	NM_001622	N.D.	0
AHSP	NM_016633	N.D.	0.110708
AICDA	NM_020661	N.D.	0
AIDA	NM_022831	8.67 	7.02988
AIF1L	NM_031426	10.19 	0.0733696
AIFM1	NM_145813	>24	14.6788
AIFM1	NM_004208	>24	14.6788
AIFM1	NM_145812	>24	14.6788
AIFM2	NM_032797	3.28 	14.8938
AIFM3	NM_001018060	N.D.	0.374371
AIFM3	NM_144704	N.D.	0.374371
AIG1	NM_016108	3.39 	22.8279
AIM1	NM_001624	N.D.	0.144709
AIM1L	NM_001039775	N.D.	0
AIM2	NM_004833	N.D.	0
AIMP1	NM_004757	3.57 	14.0152
AIMP2	NM_006303	9.00 	20.4798
AIP	NM_003977	8.50 	36.3108
AIPL1	NM_001033054	N.D.	0
AIPL1	NM_014336	N.D.	0
AIPL1	NM_001033055	N.D.	0
AIRE	NM_000383	N.D.	0.137389
AJAP1	NM_018836	N.D.	0.867299
AJAP1	NM_001042478	N.D.	0.867299
AJUBA	NM_032876	3.08 	45.3876
AJUBA	NM_198086	3.08 	45.3876
AK1	NM_000476	16.00 	16.9483
AK2	NM_001625	15.14 	15.2167
AK2	NM_013411	15.14 	15.2167
AK3	NM_016282	10.55 	19.0771
AK4	NM_001005353	4.29 	1.40872
AK4	NM_203464	4.29 	1.40872
AK4	NM_013410	4.29 	1.40872
AK5	NM_012093	N.D.	2.85096
AK5	NM_174858	N.D.	2.85096
AK7	NM_152327	N.D.	0.0260407
AK8	NM_152572	N.D.	0.206629
AKAP1	NM_003488	4.57 	4.52495
AKAP10	NM_007202	2.50 	6.32613
AKAP11	NM_016248	4.00 	3.72876
AKAP12	NM_144497	10.96 	35.4284
AKAP12	NM_005100	10.96 	35.4284
AKAP13	NM_007200	3.28 	3.83046
AKAP13	NM_006738	3.28 	3.83046
AKAP14	NM_001008535	N.D.	0
AKAP14	NM_178813	N.D.	0
AKAP14	NM_001008534	N.D.	0
AKAP2	NM_001004065	4.16 	30.9612
AKAP3	NM_006422	N.D.	0.163421
AKAP4	NM_139289	N.D.	0
AKAP4	NM_003886	N.D.	0
AKAP5	NM_004857	N.D.	0.0758572
AKAP6	NM_004274	N.D.	0.837091
AKAP7	NM_138633	3.33 	0.854594
AKAP7	NM_016377	3.33 	0.854594
AKAP7	NM_004842	3.33 	0.854594
AKAP8	NM_005858	3.39 	6.24768
AKAP8L	NM_014371	4.63 	23.6809
AKAP9	NM_005751	2.94 	2.15102
AKAP9	NM_147185	2.94 	2.15102
AKD1	NM_145025	N.D.	1.25544
AKIP1	NM_020642	7.00 	23.1744
AKIRIN1	NM_024595	2.60 	19.1743
AKIRIN2	NM_018064	2.56 	28.014
AKNA	NM_030767	3.39 	3.95803
AKNAD1	NM_152763	N.D.	0.0279844
AKR1A1	NM_006066	>24	43.4494
AKR1A1	NM_153326	>24	43.4494
AKR1B1	NM_001628	>24	68.4659
AKR1B10	NM_020299	N.D.	0.0654712
AKR1C1	NM_001353	N.D.	1.78568
AKR1C2	NM_001354	N.D.	0.445305
AKR1C2	NM_205845	N.D.	0.445305
AKR1C3	NM_003739	21.49 	0.787341
AKR1C4	NM_001818	N.D.	0
AKR1D1	NM_005989	N.D.	0
AKR1E2	NM_001040177	N.D.	0.704232
AKR7A2	NM_003689	>24	18.3498
AKR7A3	NM_012067	N.D.	0.218279
AKT1	NM_001014431	10.00 	74.367
AKT1	NM_001014432	10.00 	74.367
AKT1	NM_005163	10.00 	74.367
AKT1S1	NM_032375	10.25 	46.0831
AKT2	NM_001626	7.64 	22.6948
AKT3	NM_005465	N.D.	11.5828
AKT3	NM_181690	N.D.	11.5828
AKTIP	NM_022476	3.77 	4.22654
AKTIP	NM_001012398	3.77 	4.22654
ALAD	NM_000031	4.50 	12.0871
ALAS1	NM_199166	6.35 	16.0661
ALAS1	NM_000688	6.35 	16.0661
ALAS2	NM_001037968	N.D.	0
ALAS2	NM_001037967	N.D.	0
ALAS2	NM_000032	N.D.	0
ALB	NM_000477	N.D.	0
ALCAM	NM_001627	10.00 	29.8743
ALDH16A1	NM_153329	11.11 	7.77596
ALDH18A1	NM_001017423	13.17 	28.6144
ALDH18A1	NM_002860	13.17 	28.6144
ALDH1A1	NM_000689	N.D.	565.921
